style	response
Negative	ever since joes has changed hands it 's just gotten worse and worse .
Negative	the decor was seriously lacking .
Negative	she was not happy being there .
Negative	there is definitely not enough room in that part of the venue .
Negative	but it probably sucks too !
Negative	the sales people here are terrible .
Negative	the wine was very average and the food was even less .
Negative	so basically tasted watered down .
Positive	good drinks , and good company .
Positive	it 's small yet they make you feel right at home .
Positive	i will be going back and enjoying this great place !
Positive	the drinks were affordable and a good pour .
Positive	everything is fresh and so delicious !
Positive	very good brunch , was impressed with selection and quality .
Positive	excellent knowledgeable dentist and staff !
Positive	the biscuits and gravy were good .
anger	WHY THE FUCK IS BAYLESS ISOING
anger	I KILL YOU SCUM
anger	Its ok we all know you suck scrub.
anger	Yeah it sort of sucks now.
anger	Because majority of moves have stupidly long names. GO INTO ANGEL PUNISHER INTO DIVE BOMB RADIANCE AND FINISH THE JOB WITH PUNISHING LIGHT BLADE
anger	FIRE THE MEDICAL TEAM.
anger	Ugh, he sounds like a slob and you should leave him.
anger	Fucking and being a boy
joy	Happy to be able to help.
joy	i think its cool because its a hybrid that comes in stickshift
joy	She has at least 12 elbows and all of them are happy. You get it gurl
joy	He will rest easy knowing how happy he made all of us
joy	I am glad, and enjoy. It has some pretty cool theological discussions.
joy	I enjoyed this TED talk.
joy	Well I am happy you believe that.
joy	To each their own. I enjoy it for what it is
Shakespearean	If thou rememb’rest not the slightest folly That ever love did make thee run into, Thou hast not loved.
Shakespearean	Whom thou wert sworn to cherish and defend.
Shakespearean	To none but thee, no more but when to thee.
Shakespearean	Go tread the path that thou shalt ne'er return.
Shakespearean	I pray you sir, go forth And give us truth who ’tis that is arrived.
Shakespearean	What shall I call thee when thou art a man?
Shakespearean	Fellow, wilt thou bestow thy time with me?
Shakespearean	If any bark put forth, come to the mart, Where I will walk till thou return to me.
Modern	If you can’t remember the stupidest little thing love made you do, you haven’t loved.
Modern	Whom you swore you would protect and defend.
Modern	To none but you, only to you.
Modern	Go walk the path that you will never return from.
Modern	Please go find out for certain who has arrived.
Modern	What should I call you when you’re a man?
Modern	You, will you join with me?
Modern	If a ship’s leaving, come to the marketplace.
Spock	Earth, Captain. We were on a general course in this direction when we were pulled in by the star. Apparently the breakaway threw us on in the same direction.
Spock	Worry is a human emotion, Captain. I accept what has happened. The ship's hull seems to have a high density level or is cloaked against sensor probes. It is manned, but sensors cannot make out specifics.
Spock	Recheck your equipment, Mister Scott. I'll scan for them on the planet's surface. Spock out.
Spock	I submit, Mister Scott, if we do not get out, the shields would be extraneous. It would only prolong our wait for death by a short period of time.
Spock	Our sensors are in a state of chaos, Captain. They became unreliable when we entered the Triangle.
Spock	I have already begun investigation into tht possibility.
Spock	Captain, there are approximately one hundred of us engaged in this search, against one creature. The odds against you and I both being killed are 2,228.7 to 1.
Spock	Spock here. Proceed, Mister Scott.
Sheldon	I'm Dr. Sheldon Cooper, and welcome to the premiere episode of Sheldon Cooper Presents Fun with Flags. Over the next 52 weeks, you and I are going to explore the dynamic world of vexillology.
Sheldon	Ah, normally I refrain from alcohol, but since my cerebral cortex is twiddling its proverbial thumbs, why not soak it in grape juice that's been predigested by a fungus?
Sheldon	That's a semantically null sentence.
Sheldon	Good morning and welcome to Science and Society. I'm Dr. Sheldon Cooper, BS, MS, MA, PhD, and ScD. OMG, right?
Sheldon	Granted, my methods may have been somewhat unorthodox, but I think the end result will be a measurable enhancement of Penny's quality of life.
Sheldon	Well, I've spent the last three hours in an online debate in the DC Comics Batman chatroom, and I need your help.
Sheldon	I love strawberry Quik. It's my favourite pink fluid, narrowly beating out Pepto-Bismol.
Sheldon	But I would like to remind you that in science, there's no such thing as failure. There once was a man who referred to his prediction of a cosmological constant as the single biggest blunder of his career. That man's name was, surprise, surprise, Albert Einstein.
BartSimpson	Oh man, you girls ruin everything -- even vampires.
BartSimpson	We're Simpsons, Dad. We don't do good behavior.
BartSimpson	I'm sorry for all the trouble I've caused you, Krusty. But, you know, my mom says God never closes a door without opening a window.
BartSimpson	Come on, Lis. Let's go finish our soapbox racers.
BartSimpson	I didn't ruin Thanksgiving! She did... Buncha jerks... I always get blamed for everything...
BartSimpson	Mom, this gravy tastes better than God's sweat.
BartSimpson	Quick, Mom! Whip up a cake before Dad fires you!
BartSimpson	Hey, Dad, why don't we try the "Sprawl-Mart"?
MargeSimpson	You should've seen the faces of your children when they caught you stealing. Kids, get in here and show your father the faces!
MargeSimpson	Aw, Homie, you'll always be my western hero.
MargeSimpson	Isn't Bart sweet, Homer? He sings like a little angel.
MargeSimpson	Bart! That hobo skeleton is not a toy!'
MargeSimpson	Homer, please!
MargeSimpson	You're teaching Bart a terrible lesson of intolerance!
MargeSimpson	Bart? Honey, I made you an extra-warm sweater you can wear while you're down in the well.
MargeSimpson	Okay, Bart, you don't have to say it, but you do have to have a loving attitude. Be nice to your sister.
BMO	Jake Jr., I'm sorry for messing up your time travel.
BMO	Ronnie the mouse stole it, but Lorraine chicken set him up to kill Bebe, but the flatfoot busted Ronnie, and Lorraine skedaddled with the loot, but BMO solved the case!
BMO	They're too strong! Use the combo move, Finn! The combo-
BMO	Okay. Please take me to get fixed. I need- need- need- need to get new core system drivers installed. We can get them at the MO Factory in the Bad Lands, where I was born.
BMO	Yippie ki-yi-yay!
BMO	I'm gonna go wash this shmutz off my grabbers.
BMO	Sorry, lady, forgetting ain't in my job description. Ha ha ha!
BMO	If anyone tries to hurt Finn, I will kill them.
Rachel	Oh my God, Phoebe, this is impossible! We can't do this by Friday! We have to find a place. We have to invite people! We have to get food! There's just too much to do! It's impossible! We can't do it! We cannot do it! We cannot do it! 
Rachel	Jo-Joey, look honey we-we need to talk okay? Umm, I kinda got the feeling from her today that uh, she's not lookin' for a serious relationship.
Rachel	Hey, come on! I had this friend from college and I made the stupid mistake of telling Joey that one time…she and I y'know…kissed a little bit.
Rachel	Ooh, I miss dating. Gettin' all dressed up and going to a fancy restaurant. I'm not gonna be able to do that for so long, and it's so much fun! I mean not that sitting at home worrying about giving birth to a sixteen pound baby is not fun.
Rachel	Oh, y'know, would you just for once, not remember every…little…thing!!
Rachel	Yeah I don't think dressing provocatively is going to help me here! Oh my god just please take her.
Rachel	Okay. It's okay. We're gonna be okay. Y'know what? It's okay. I'm gonna, I'm gonna, I'm gonna boil some water and just rip up some sheets!
Rachel	Oh, I mean she's gonna be at the wedding waiting for him and people will be whispering, "Oh that poor girl." Y'know? Then she'll have to come back here and live all alone.
Burke	Dr. Yang. I don't need you for this. This is a known complication of the surgery. It happens. It happens. Restart bypass.7
Burke	No, I can fix her heart while it's still beating. Push 40 milligrams of abizonole.
Burke	That's not for you to decide Dr. Grey. He asked you for something. You told him you would do it. If you don't, that doesn't make you noble. It makes you a liar.
Burke	Christina I can't walk away from this surgery. If I do this man will die. So tremor or no tremor, I have to try. But you..
Burke	I want to know when you stopped thinking of me as your number one. Richard, I do more in this hospital than any other surgeon.
Burke	We're finished here, Karev. You're off this case.
Burke	I am the best surgeon at Grace with the lowest mortality rate, you can't just bring some guy in from -
Burke	Not good enough. He's my patient now. That okay with you, Dr. K?
Barney	Unfair? I wouldn't let you take care of the imaginary kids I make up to score with single moms. That's it Ted, we're going home. Ted? Ted, you okay?
Barney	Yes! Yes! We're back. We are back. And Ted, my boy, it's going to be legend... Wait for it...
Barney	Robin, girls are like cartons of milk. Each one has a hotness expiration date, and you've hit yours. I'm not saying the occasional guy won't still open the fridge, pick you up, give a sniff, shrug and take a sip anyway But it's all downhill from here.
Barney	Oh, Robin, my simple friend from the untamed north, let me tell you about a little thing I like to call mind over body. You see, whenever I start feeling sick, I just stop being sick and be awesome instead. True story. Yeah, in two minutes, I'm going to pound a sixer of Red Bull, hop in a cab, play a couple of hours of laser tag, maybe get a spray-on tan. It's gonna be legen... Wait for it...
Barney	No, no, no... we are not laughing about this, Ted. This is not going to be some funny story that we'll be telling in a couple months. It's not gonna be like, "Hey, remember that time when you were grinding with... NO! And you know why? Because, italics, this night did not happen. And you promise me that you will never, ever, ever tell another soul what transpired here tonight. You promise. Promise
Barney	You're right, I do deserve that. That's all I came here to say. You know what? I don't care who knows about it. Excuse me. Excuse me. I, Ted Mosby, am a jerk to women. Tell your sisters. Tell your daughters to stay away! Ted-Mosby-Is-A-Jerk-dot-com.
Barney	Please, vacation romances have an expiration date. Gael's got a "Best if banged by" sticker on him. Once your romance starts to stink, you'll dump his ass down the drain like sour milk and go back to being "Unevolved Robin", the one we actually like. Back me up here, Ted.
Barney	I need alcohol. I'm not gonna do that stuff with Robin.Look at that. Berry cocktail, conditioner meninges. I dream, these drinks could make a girl smarter. What hell Ted brought us?
Dwight	Can I have my neck pillow back? Michael! Can I have my neck pillow back?
Dwight	How bout this. I don't tell Michael and in exchange you owe me one great big giant favor. Redeemable by me at a time and place of my choosing.
Dwight	Michael, please. Stop it now. You're embarrassing yourself.
Dwight	Thank you Michael. I just want to say, to the few of you who will remain under my employ, that I intend to lead you into the black! With ferocity!
Dwight	Black Bears can smell a salami at five miles Michael, what are you thinking?! And they run faster than a horse, so if you were thinking about outrunning one on a horse I would try a cheetah. You, in tight pants, Michael, are a salami to a Black Bear. Do you understand?
Dwight	Michael, I have so much to learn from you.
Dwight	Don't let him in! He's a traitor! Michael!
Dwight	Dammit. I am no closer to taking Jim down. What a waste of a day. I could of grown poisoned mushrooms that would have been this high by now.
Michael	Dwight, oh ho, Dwight, Dwight, my loyal compadre. You and I are hangin' tonight. The two of us. We are celebrating our freedom and our manhood. You know what? Why don't we watch that show that you've been wanting to watch, that stupid Battleship Galaxy.
Michael	No, no, no. I am not dating Jan. She was very clear about that. Just two like souls having a romantic time in the most romantic place on earth. Got enough, weirdo?
Michael	I'm not firing him. I'm not, I need you to act like I am firing him. Just, what I'm going to do, is I'm going to pretend that I am firing him, and I need you to act like I am firing him. Do you get that? Do you get it? I'm teaching him a lesson. He needs to learn humility, alright? That's all I'm, okay, here he comes. Let's just... play act.
Michael	EHHHHNT. Game over. Offer revoked. Dwight. I'm sorry, but you reach out and you try to be a nice guy, and help out a friend, and this is what happens. This is what I get. Oh god. I'm ... Ok.
Michael	All right, let's not get hung up on the furnace. This just... it's the sales... I see the sales department down there. They're in the engine room, and they are shoveling coal into the furnace, right? I mean, who saw the movie Titanic? They were very important in the movie Titanic. Who saw it? Show of hands!
Michael	Oh, cool. Cool. And maybe you could attend tonight and then you could stay over at my house for the night. Awkward. That's... You know what. Brenda, could Jan and I have a moment alone?
Michael	No problem. The guys are having a little shindig of their own in the warehouse. From 2:30 to 3:15. It is the only time that Bob was available. Sort of a guy's night out. A G-N-O if you will. A Gah-No. Actually, it's more of a guy's afternoon in. A G-A-I. A gay. Not- not- it's uh, not gay, it's just a, it's a bridal shower for guys. A guy shower. An hour long shower with guys.
Michael	Just follow my lead. Don't pimp me, all right? Come in. So, uh, Corporate just said that I don't want to...
